PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
CA1910179,"BURBANK-CITY, WATER DEPT.",Region 9,California,Community water system,"105,861",BURBANK,Los Angeles,38,2,112
CA4400764,MOUNT MADONNA CENTER,Region 9,California,Community water system,165,,Santa Cruz,10,7,10
CA0410007,PARADISE IRRIGATION DISTRICT,Region 9,California,Community water system,"4,600",,Butte,4,4,67
CA3100538,ROSECREST MUTUAL,Region 9,California,Community water system,31,,Placer,3,10,10
CA5800863,FELLOWSHIP OF FRIENDS,Region 9,California,Community water system,325,,Yuba,5,2,7
CA5800803,LOMA RICA WATER COMPANY,Region 9,California,Community water system,200,,Yuba,6,27,9
CA4710001,"DORRIS, CITY OF",Region 9,California,Community water system,887,DORRIS,Siskiyou,7,5,10
CA4010023,GOLDEN STATE WATER COMPANY - EDNA,Region 9,California,Community water system,"1,299",,San Luis Obispo,18,1,17
CA4010040,GOLDEN STATE WATER COMPANY-CYPRESS RIDGE,Region 9,California,Community water system,"2,559",,San Luis Obispo,23,24,15
CA4210016,GOLDEN STATE WATER COMPANY - ORCUTT,Region 9,California,Community water system,"32,569",,Santa Barbara,35,0,20
CA4210021,GOLDEN STATE WATER COMPANY - TANGLEWOOD,Region 9,California,Community water system,"1,962",,Santa Barbara,9,0,12
CA4210022,GOLDEN STATE WATER COMPANY - LAKE MARIE,Region 9,California,Community water system,527,,Santa Barbara,9,0,12
CA2800531,MOORE'S RESORT,Region 9,California,Community water system,70,,Napa,5,18,19
CA4410017,SOQUEL CREEK WATER DISTRICT,Region 9,California,Community water system,"40,644",,Santa Cruz,60,2,18
CA5500104,CASCADE ESTATES,Region 9,California,Community water system,316,,Tuolumne,6,18,6
CA4200800,EAST VALLEY FARMS MUTUAL WATER COMPANY,Region 9,California,Community water system,132,,Santa Barbara,4,12,10
CA4000650,MESA DUNES MOBILE HOME ESTATES,Region 9,California,Community water system,600,,San Luis Obispo,6,9,11
CA3301330,INDIAN OAKS TRAILER PARK,Region 9,California,Community water system,90,,Riverside,6,35,6
CA3310007,COACHELLA WATER AUTHORITY,Region 9,California,Community water system,"45,743",COACHELLA,Riverside,24,11,13
CA2300634,OCEAN'S EDGE ESTATES,Region 9,California,Community water system,250,,Mendocino,5,6,5
CA4910002,"CLOVERDALE, CITY OF",Region 9,California,Community water system,"9,157",CLOVERDALE,Sonoma,13,13,11
CA1510020,"TEHACHAPI, CITY OF",Region 9,California,Community water system,"8,839",TEHACHAPI,Kern,15,8,18
CA1700595,CAL 20 VILLAGE AND MEADOW POINTE PARK,Region 9,California,Community water system,175,,Lake,12,19,10
CA2300506,MEADOW ESTATES MUTUAL,Region 9,California,Community water system,100,,Mendocino,7,9,4
CA4510008,FALL RIVER VALLEY CSD,Region 9,California,Community water system,"1,535",,Shasta,7,9,7
CA2810014,SPANISH FLAT WATER DISTRICT,Region 9,California,Community water system,230,,Napa,3,7,13
CA4000705,LAGUNA NEGRA MUTUAL WATER CO.,Region 9,California,Community water system,80,,San Luis Obispo,4,7,9
CA4000202,EDNA VALLEY RANCH EAST,Region 9,California,Community water system,148,,San Luis Obispo,14,7,12
CA3301528,OAK HAVEN ASSOCIATION,Region 9,California,Community water system,92,,Riverside,9,16,8
CA2800521,CIRCLE OAKS WATER DISTRICT,Region 9,California,Community water system,500,,Napa,10,5,21
CA5500096,SIERRA TWAIN HARTE MHP,Region 9,California,Community water system,129,,Tuolumne,6,7,10
CA3310028,RIVERSIDE CSA #122-MESA VERDE,Region 9,California,Community water system,"1,000",,Riverside,12,149,10
CA3410015,GOLDEN STATE WATER CO. - CORDOVA,Region 9,California,Community water system,"44,928",,Sacramento,54,6,37
CA1710002,GOLDEN STATE WATER CO.-CLEARLAKE SYSTEM,Region 9,California,Community water system,"4,104",,Lake,4,1,17
CA3410003,GOLDEN STATE WATER CO - ARDEN WATER SERV,Region 9,California,Community water system,"5,125",,Sacramento,16,3,10
CA0710002,GOLDEN STATE WATER COMPANY - BAY POINT,Region 9,California,Community water system,"22,295",,Contra Costa,11,2,20
CA3110051,NORTHSTAR CSD - MARTIS VALLEY,Region 9,California,Community water system,"1,218",,Placer,7,0,6
CA3110028,NORTHSTAR C.S.D.,Region 9,California,Community water system,300,,Placer,10,3,17
CA1500096,OLD RIVER MUTUAL WATER COMPANY,Region 9,California,Community water system,128,,Kern,2,45,6
CA1510801,WASCO ST. PRISON RECEPTION CTR,Region 9,California,Community water system,"6,068",,Kern,5,3,9
CA5500042,BELLEVIEW OAKS MUTUAL WATER CO,Region 9,California,Community water system,468,,Tuolumne,10,4,13
CA2310003,"UKIAH, CITY OF",Region 9,California,Community water system,"15,995",UKIAH,Mendocino,22,2,19
CA4000222,AVILA BEACH COMMUNITY SERVICES DISTRICT,Region 9,California,Community water system,"1,630",,San Luis Obispo,4,0,3
CA0310003,"AWA, TANNER",Region 9,California,Community water system,"4,943",,Amador,3,6,32
CA0310012,AWA BUCKHORN PLANT,Region 9,California,Community water system,"8,809",,Amador,4,7,25
CA0310019,AWA LA MEL HEIGHTS #3,Region 9,California,Community water system,188,,Amador,5,8,16
CA0310021,AWA - CAMANCHE VILLAGE,Region 9,California,Community water system,"2,384",,Amador,10,6,8
CA4200851,ROLLING HILLS MUTUAL WATER COMPANY,Region 9,California,Community water system,66,,Santa Barbara,5,14,10
CA4000741,"H2O, INC",Region 9,California,Community water system,60,,San Luis Obispo,7,6,8
CA4200578,PAINTED CAVE,Region 9,California,Community water system,172,,Santa Barbara,4,14,9
CA4200633,LINGATE MUTUAL WATER COMPANY,Region 9,California,Community water system,55,,Santa Barbara,2,6,9
CA1910009,VALLEY COUNTY WATER DIST.,Region 9,California,Community water system,"56,754",,Los Angeles,86,2,52
CA2000589,MAMMOTH POOL MOBILE HOME PARK,Region 9,California,Community water system,60,,Madera,23,81,10
CA3710005,CARLSBAD MWD,Region 9,California,Community water system,"91,697",,San Diego,8,0,27
CA3702354,WARNER SPRINGS ESTATES,Region 9,California,Community water system,443,,San Diego,14,72,13
CA1500447,SIERRA BREEZE MUTUAL WATER COMPANY,Region 9,California,Community water system,150,,Kern,5,13,7
CA2710008,"GREENFIELD, CITY OF",Region 9,California,Community water system,"17,517",GREENFIELD,Monterey,12,5,15
CA3710027,VISTA IRRIGATION DISTRICT,Region 9,California,Community water system,"134,588",,San Diego,41,1,12
CA4010003,SAN MIGUELITO MWC,Region 9,California,Community water system,"1,758",,San Luis Obispo,16,2,12
CA3110022,MCKINNEY WATER DISTRICT,Region 9,California,Community water system,853,,Placer,3,1,5
CA4110022,CITY OF REDWOOD CITY,Region 9,California,Community water system,"87,023",REDWOOD CITY,San Mateo,5,3,17
CA3310009,EASTERN MUNICIPAL WD,Region 9,California,Community water system,"608,232",,Riverside,107,3,93
CA5602140,SATICOY COUNTRY CLUB-CITY OF VENTURA,Region 9,California,Community water system,196,VENTURA,Ventura,7,0,7
CA5610017,VENTURA WATER DEPARTMENT,Region 9,California,Community water system,"113,500",,Ventura,38,3,34
CA1910143,"SAN FERNANDO-CITY, WATER DEPT.",Region 9,California,Community water system,"24,322",SAN FERNANDO,Los Angeles,14,1,35
CA4300575,TWIN VALLEY INC,Region 9,California,Community water system,317,,Santa Clara,8,53,8
CA2300610,CASPAR SOUTH SERVICE COMPANY,Region 9,California,Community water system,188,,Mendocino,15,7,5
CA3600086,DAGGETT COMM SVCS DIST,Region 9,California,Community water system,795,,San Bernardino,8,21,55
CA3301535,RANCHO CARRILLO MWC,Region 9,California,Community water system,210,,Riverside,13,43,11
CA2702268,NEW CAMALDOLI HERMITAGE WS,Region 9,California,Community water system,54,,Monterey,9,11,11
CA4710002,"DUNSMUIR, CITY OF",Region 9,California,Community water system,"1,923",DUNSMUIR,Siskiyou,2,8,23
CA4000771,RANCHO NIPOMO WATER COMPANY,Region 9,California,Community water system,65,,San Luis Obispo,5,4,9
CA4000523,S & T MUTUAL WATER COMPANY,Region 9,California,Community water system,591,,San Luis Obispo,12,3,11
CA3610001,"ADELANTO, CITY OF",Region 9,California,Community water system,"31,765",ADELANTO,San Bernardino,29,19,16
CA2600532,LUNDY MUTUAL WATER COMPANY,Region 9,California,Community water system,70,,Mono,2,23,10
CA0310004,"PLYMOUTH, CITY OF",Region 9,California,Community water system,"1,060",PLYMOUTH,Amador,10,24,15
CA0310002,"AWA, IONE",Region 9,California,Community water system,"6,170",JACKSON,Amador,4,9,22
CA4510013,SHASTA C.S.D.,Region 9,California,Community water system,"1,584",,Shasta,3,0,18
CA1610002,"AVENAL, CITY OF",Region 9,California,Community water system,"13,218",AVENAL,Kings,5,33,16
CA1300629,JACKSON HIDE-A-WAY,Region 9,California,Community water system,29,,Imperial,3,33,15
CA4100538,CAMP JONES GULCH,Region 9,California,Community water system,357,,San Mateo,10,3,66
CA3310036,WESTERN MWD - MURRIETA DIVISION,Region 9,California,Community water system,"12,810",,Riverside,16,7,13
CA3310075,WESTERN MWD (ARLINGTON),Region 9,California,Community water system,0,,Riverside,11,0,11
CA5400655,CENTRAL MUTUAL WATER CO,Region 9,California,Community water system,119,,Tulare,3,37,13
CA1502465,PANAMA ROAD PROPERTY OWNERS ASSOC,Region 9,California,Community water system,45,,Kern,3,10,7
CA3610107,GOLDEN STATE WATER CO - APPLE VLY SOUTH,Region 9,California,Community water system,"6,340",,San Bernardino,14,0,8
CA3610108,GOLDEN STATE WATER CO - LUCERNE,Region 9,California,Community water system,751,,San Bernardino,9,2,7
CA3610043,GOLDEN STATE WATER CO - BARSTOW,Region 9,California,Community water system,"31,641",,San Bernardino,57,1,9
CA3610047,GOLDEN STATE WATER CO - WRIGHTWOOD,Region 9,California,Community water system,"4,440",,San Bernardino,21,0,7
CA3610063,GOLDEN STATE WATER CO - MORONGO DEL SUR,Region 9,California,Community water system,"1,748",,San Bernardino,9,6,7
CA3610105,GOLDEN STATE WATER CO - APPLE VLY NORTH,Region 9,California,Community water system,"2,106",,San Bernardino,7,0,7
CA3600270,GOLDEN STATE WATER MORONGO DELNORTE,Region 9,California,Community water system,870,,San Bernardino,6,2,30
CA3600279,GOLDEN STATE WATER DESERT VIEW,Region 9,California,Community water system,125,,San Bernardino,4,2,33
CA4500101,LAKE SHASTA PINES RV PARK & CAMPGROUND,Region 9,California,Community water system,121,,Shasta,5,18,12
CA3100528,GOLDEN HILLS MUTUAL WATER CO,Region 9,California,Community water system,84,,Placer,3,30,4
CA1900785,MITCHELL'S AVENUE E MOBILE HOME PARK,Region 9,California,Community water system,24,,Los Angeles,6,21,11
CA2702520,ARROYO SECO ESTATES MWS,Region 9,California,Community water system,70,,Monterey,4,13,10
CA1010042,MALAGA COUNTY WATER DISTRICT,Region 9,California,Community water system,"5,979",,Fresno,14,17,11
CA2700509,OAK MANOR WS,Region 9,California,Community water system,92,,Monterey,5,23,15
CA4400605,CRESTWOOD HEIGHTS WATER ASSN,Region 9,California,Community water system,126,,Santa Cruz,3,8,56
CA5800805,LAKE FRANCIS MUTUAL WATER COMPANY,Region 9,California,Community water system,60,,Yuba,12,4,5
CA3110033,CASTLE CITY MHP,Region 9,California,Community water system,280,NEWCASTLE,Placer,3,17,11
CA1000430,DYCORA TRANSITIONAL LIVING,Region 9,California,Community water system,125,,Fresno,4,10,9
CA2700622,OUTLOOK WA,Region 9,California,Community water system,45,,Monterey,6,19,15
CA2700523,CALERA CANYON HEIGHTS HOA,Region 9,California,Community water system,74,,Monterey,9,32,13
CA1900145,REESEDALE MUTUAL,Region 9,California,Community water system,76,,Los Angeles,10,3,11
CA4700531,TENNANT C.S.D.,Region 9,California,Community water system,94,,Siskiyou,4,30,9
CA3500923,FAIRVIEW ROAD WATER SYSTEM,Region 9,California,Community water system,33,,San Benito,5,33,7
CA1000199,FOWLER CARE CENTER,Region 9,California,Community water system,46,,Fresno,4,11,13
CA4400621,RIVER GROVE MUTUAL WATER ASSN,Region 9,California,Community water system,54,,Santa Cruz,4,19,16
CA3610125,SBDNO COUNTY SERVICE AREA 70J,Region 9,California,Community water system,"12,513",,San Bernardino,11,1,10
CA0707572,BETHEL ISLAND MUTUAL WATER CO,Region 9,California,Community water system,149,,Contra Costa,3,6,16
CA5000389,MONTEREY PARK TRACT CSD,Region 9,California,Community water system,186,,Stanislaus,4,57,15
CA3610026,SBDNO COUNTY SERVICE AREA 70 CEDAR GLEN,Region 9,California,Community water system,"1,236",,San Bernardino,6,11,8
CA3610121,SBDNO COUNTY SERVICE AREA 64,Region 9,California,Community water system,"14,678",,San Bernardino,13,2,11
CA4510002,MOUNTAIN GATE C.S.D.,Region 9,California,Community water system,"2,227",,Shasta,11,9,12
CA5000054,MORNINGSIDE MOBILEHOME PARK,Region 9,California,Community water system,67,,Stanislaus,4,6,13
CA0707588,BIG OAK MOBILE HOME PARK WATER,Region 9,California,Community water system,156,,Contra Costa,4,9,32
CA0707594,CASA MEDANOS WATER SYSTEM,Region 9,California,Community water system,45,,Contra Costa,5,9,13
CA5000067,TULLY MOBILE ESTATES,Region 9,California,Community water system,40,,Stanislaus,5,2,25
CA0707575,FRANKS MARINA,Region 9,California,Community water system,185,,Contra Costa,3,6,29
CA0707589,BELLA VISTA WATER SYS,Region 9,California,Community water system,93,,Contra Costa,2,4,24
CA4500203,RAPID RIVER MOBILEHOME PARK,Region 9,California,Community water system,92,,Shasta,7,8,12
CA0707598,CAMINO MOBILEHOME,Region 9,California,Community water system,210,,Contra Costa,2,10,29
CA0707501,ANGLER S RANCH #3,Region 9,California,Community water system,60,,Contra Costa,2,5,5
CA0707523,FLAMINGO MOBILE MANOR,Region 9,California,Community water system,200,,Contra Costa,3,12,21
CA1000377,ST NICHOLAS RANCH & RETREAT,Region 9,California,Community water system,183,,Fresno,5,53,8
CA5410012,STRATHMORE PUBLIC UTIL DIST,Region 9,California,Community water system,"2,150",,Tulare,9,95,17
CA2010012,CAL AM - RAYMOND,Region 9,California,Community water system,317,,Madera,29,97,7
CA2010013,CAL AM - COARSEGOLD,Region 9,California,Community water system,83,,Madera,8,7,6
CA2010014,CAL AM - GOLDSIDE,Region 9,California,Community water system,"1,020",,Madera,20,6,5
CA2010007,CAL AM - OAKHURST,Region 9,California,Community water system,"3,403",,Madera,60,97,13
CA4900675,ROSELAND MOBILE HOME PARK,Region 9,California,Community water system,130,,Sonoma,4,7,4
CA4900788,EL CRYSTAL MOBILE HOME PARK,Region 9,California,Community water system,130,,Sonoma,5,16,4
CA1110001,CITY OF ORLAND,Region 9,California,Community water system,"8,323",ORLAND,Glenn,19,6,36
CA1009051,"CANTUA CREEK VINEYARDS, IV, LLC.",Region 9,California,Community water system,50,,Fresno,4,91,11
CA4900832,LEISURE MOBILE HOME PARK,Region 9,California,Community water system,410,,Sonoma,5,7,4
CA2701364,PEDRAZZI MWC,Region 9,California,Community water system,273,,Monterey,5,23,10
CA2701959,TIERRA VISTA MWC,Region 9,California,Community water system,54,,Monterey,5,35,14
CA1010800,CAL FIRE - MIRAMONTE CONSERVATION CAMP,Region 9,California,Community water system,100,,Fresno,6,14,5
CA4901346,DELORES LANE WATER SYSTEM,Region 9,California,Community water system,56,,Sonoma,4,6,3
CA2701676,SAN LUCAS WD,Region 9,California,Community water system,315,,Monterey,10,22,12
CA2400167,BALLICO CSD,Region 9,California,Community water system,238,,Merced,2,0,5
CA5402047,GLEANINGS FOR THE HUNGRY,Region 9,California,Community water system,31,,Tulare,25,78,7
CA3200107,GRIZZLY LAKE CSD-CROCKER/WELCH,Region 9,California,Community water system,215,,Plumas,3,36,6
CA4000654,RESTHAVEN MOBILE HOME PARK,Region 9,California,Community water system,75,,San Luis Obispo,8,7,10
CA2400209,SAN LUIS HILLS,Region 9,California,Community water system,300,,Merced,4,23,9
CA5602117,STRICKLAND ACRES,Region 9,California,Community water system,429,,Ventura,7,39,9
CA5500053,LEISURE PINES MUTUAL WATER CO,Region 9,California,Community water system,340,,Tuolumne,7,5,7
CA4300573,GREEN ACRES MUTUAL WATER,Region 9,California,Community water system,53,,Santa Clara,7,15,7
CA2702439,WOODLAND HEIGHTS MWC,Region 9,California,Community water system,57,,Monterey,5,15,12
CA2700665,OAK HEIGHTS W & R CO INC,Region 9,California,Community water system,105,,Monterey,5,22,14
CA2701263,PARTINGTON MWC,Region 9,California,Community water system,35,,Monterey,10,39,7
CA2701898,CLEAR RIDGE WA,Region 9,California,Community water system,123,,Monterey,4,17,6
CA3610110,ARROWBEAR PARK CWD,Region 9,California,Community water system,"1,856",,San Bernardino,14,4,9
CA0510003,"ANGELS, CITY OF",Region 9,California,Community water system,"3,836",ANGELS CAMP,Calaveras,3,10,27
CA3010101,SANTA MARGARITA WATER DISTRICT,Region 9,California,Community water system,"161,264",,Orange,45,1,35
CA4910007,"SEA RANCH WATER COMPANY,THE (PUC)",Region 9,California,Community water system,"6,151",,Sonoma,8,3,9
CA4900575,LOCH HAVEN MUTUAL WATER COMPANY,Region 9,California,Community water system,26,,Sonoma,5,60,3
CA5602103,CYPRESS MUTUAL WATER CO INC,Region 9,California,Community water system,228,,Ventura,3,11,6
CA1310008,"WESTMORLAND, CITY OF",Region 9,California,Community water system,"2,444",WESTMORLAND,Imperial,4,20,24
CA5400666,DEL ORO GRANDVIEW GARDENS DISTRICT,Region 9,California,Community water system,327,,Tulare,5,41,13
CA5400767,DEL ORO EAST PLANO DISTRICT,Region 9,California,Community water system,46,,Tulare,2,15,7
CA5400553,DEL ORO TRAVER DISTRICT,Region 9,California,Community water system,660,,Tulare,4,16,5
CA5410034,DEL ORO CALIFORNIA PINES DISTRICT,Region 9,California,Community water system,930,,Tulare,12,26,8
CA5400665,DEL ORO RIVER ISLAND SERV TERR #1,Region 9,California,Community water system,"1,296",,Tulare,30,78,13
CA5402048,DEL ORO RIVER ISLAND SERV TERR #2,Region 9,California,Community water system,99,,Tulare,4,49,15
CA4000563,HIGUERA APARTMENTS,Region 9,California,Community water system,30,,San Luis Obispo,3,8,10
CA1210022,RESORT IMPROVEMENT DISTRICT #1,Region 9,California,Community water system,"1,500",,Humboldt,55,4,12
CA5010040,SOUTH SAN JOAQUIN IRRIGATION DISTRICT,Region 9,California,Community water system,"202,251",,Stanislaus,3,1,12
CA5602109,GLENVIEW MOBILE PARK,Region 9,California,Community water system,160,,Ventura,5,37,15
CA1010339,CALIFORNIA STATE UNIVERSITY FRESNO,Region 9,California,Community water system,"41,000",,Fresno,16,2,6
CA1010044,"HURON, CITY OF",Region 9,California,Community water system,"9,306",HURON,Fresno,4,73,18
CA4910016,"COTATI, CITY OF",Region 9,California,Community water system,"7,653",COTATI,Sonoma,9,0,11
CA3010097,MIDWAY CITY MUTUAL WC,Region 9,California,Community water system,"1,285",MIDWAY CITY,Orange,7,15,11
CA1300588,IID VILLAGE,Region 9,California,Community water system,30,,Imperial,4,6,18
CA1300591,IID DROP FOUR,Region 9,California,Community water system,28,,Imperial,4,9,18
CA1300626,SUNBEAM LAKE RV RESORT,Region 9,California,Community water system,650,,Imperial,1,1,19
CA5710003,CITY OF WEST SACRAMENTO,Region 9,California,Community water system,"53,355",WEST SACRAMENTO,Yolo,30,0,35
CA1700584,WESTWIND MOBILE HOME PARK,Region 9,California,Community water system,104,,Lake,3,36,11
CA5610043,OAK PARK WATER SERVICE,Region 9,California,Community water system,"12,200",,Ventura,2,5,17
CA2400201,VOLTA COMMUNITY SD,Region 9,California,Community water system,156,,Merced,2,4,5
CA3910006,STOCKTON EAST WATER DISTRICT,Region 9,California,Community water system,50,,San Joaquin,12,2,17
CA5400754,SOUTH KAWEAH MUTUAL WATER COMPANY,Region 9,California,Community water system,384,,Tulare,4,24,10
CA1500540,PINON VALLEY WATER COMPANY,Region 9,California,Community water system,109,,Kern,4,42,9
CA1510027,DESERT LAKE COMM SERV DIST,Region 9,California,Community water system,"1,036",,Kern,5,30,5
CA5400964,SIERRA VISTA ASSN,Region 9,California,Community water system,44,,Tulare,3,33,3
CA2300708,RIDGEWOOD WATER SYSTEM,Region 9,California,Community water system,220,,Mendocino,10,14,7
CA5601134,ELKINS RANCH,Region 9,California,Community water system,150,,Ventura,3,13,16
CA4500081,LAZY LANDING MOBILE HOME PARK,Region 9,California,Community water system,250,,Shasta,6,4,13
CA3600158,LYTLE SPRINGS WC,Region 9,California,Community water system,475,,San Bernardino,3,5,50
CA3610018,CUCAMONGA VALLEY WATER DISTRICT,Region 9,California,Community water system,"198,979",,San Bernardino,63,1,13
CA4010011,MORRO BAY PW DEPT - WATER DIVISION,Region 9,California,Community water system,"10,543",,San Luis Obispo,38,5,24
CA4500104,SUNRISE MOBILEHOME PARK,Region 9,California,Community water system,35,,Shasta,4,9,10
CA5410017,LONDON COMMUNITY SERV DIST,Region 9,California,Community water system,"2,138",,Tulare,10,15,8
CA1000472,PG&E HELMS SUPPORT FACILITY,Region 9,California,Community water system,40,,Fresno,3,24,7
CA3600157,LUCERNE VISTA MWC,Region 9,California,Community water system,160,,San Bernardino,4,6,41
CA4010004,GROVER BEACH WATER DEPARTMENT,Region 9,California,Community water system,"13,549",,San Luis Obispo,12,3,19
CA5500040,BLUEBELL VALLEY MWC,Region 9,California,Community water system,282,,Tuolumne,6,9,11
CA3710039,PINE VALLEY MUTUAL WC,Region 9,California,Community water system,"2,500",,San Diego,18,3,17
CA4900871,DE ANZA MOON VALLEY WATER COMPANY,Region 9,California,Community water system,691,,Sonoma,5,2,6
CA4300517,CHEMEKETA PARK MUTUAL WATER COMPANY,Region 9,California,Community water system,346,,Santa Clara,5,44,14
CA2210903,FISHCAMP MUTUAL WATER COMPANY,Region 9,California,Community water system,275,,Mariposa,6,2,9
CA1400110,PARK WEST MUTUAL WATER COMPANY,Region 9,California,Community water system,200,,Inyo,5,1,7
CA3200104,GRIZZLY LAKE CSD-DELLEKER,Region 9,California,Community water system,657,,Plumas,4,40,10
CA1900717,CASA DULCE ESTATES,Region 9,California,Community water system,28,,Los Angeles,9,5,11
CA4900792,WAYSIDE GARDENS MOBILE HOME PARK,Region 9,California,Community water system,75,,Sonoma,4,14,5
CA1500448,HILLVIEW ACRES MUTUAL WATER COMPANY,Region 9,California,Community water system,36,,Kern,4,14,8
CA3110020,OLYMPIC VALLEY PSD,Region 9,California,Community water system,"1,366",,Placer,15,1,7
CA5410038,TERRA BELLA IRRIGATION DISTRICT - TBT,Region 9,California,Community water system,"4,957",,Tulare,34,28,13
CA1500518,AGBAYANI VILLAGE WATER SYSTEM,Region 9,California,Community water system,38,,Kern,2,15,6
CA3310006,"BANNING, CITY OF",Region 9,California,Community water system,"30,735",BANNING,Riverside,50,9,13
CA3710036,BORREGO WD,Region 9,California,Community water system,"3,429",,San Diego,38,5,9
CA4900560,KELLY MUTUAL WATER COMPANY,Region 9,California,Community water system,135,,Sonoma,4,11,4
CA1910149,"SIGNAL HILL - CITY, WATER DEPT.",Region 9,California,Community water system,"11,795",SIGNAL HILL,Los Angeles,21,5,26
CA1900804,EVERGREEN MUTUAL WATER COMPANY,Region 9,California,Community water system,95,,Los Angeles,13,7,11
CA4700503,CALLAHAN WATER DISTRICT,Region 9,California,Community water system,70,,Siskiyou,3,37,16
CA1700606,BAYCLIFF WATER,Region 9,California,Community water system,70,,Lake,3,10,5
CA1800529,SUSAN HILLS ESTATES WC,Region 9,California,Community water system,316,,Lassen,3,5,7
CA1503536,GLENNVILLE MUTUAL WATER COMPANY,Region 9,California,Community water system,100,,Kern,3,1,8
CA5400805,SOULTS MUTUAL WATER CO,Region 9,California,Community water system,120,,Tulare,4,58,8
CA2000800,MARQUEZ RENTAL,Region 9,California,Community water system,50,,Madera,16,30,17
CA2300705,LITTLE LAKE MOBILE HOME PARK,Region 9,California,Community water system,38,,Mendocino,3,10,6
CA0105008,CASTLEWOOD DOMESTIC WATER SYSTEM,Region 9,California,Community water system,524,,Alameda,3,3,9
CA1900046,PETER PITCHESS HONOR RANCHO DETN. CTR,Region 9,California,Community water system,"7,000",,Los Angeles,16,7,23
CA4200867,RAY WATER COMPANY,Region 9,California,Community water system,40,,Santa Barbara,4,34,2
CA5200562,SKY VIEW COUNTY WATER,Region 9,California,Community water system,412,,Tehama,3,11,3
CA4400624,RANCHO CORRALITOS,Region 9,California,Community water system,60,,Santa Cruz,3,14,48
CA5500193,TAMARRON MOBILE HOME PARK,Region 9,California,Community water system,225,,Tuolumne,6,8,13
CA5500149,COLUMBIA MOBILE HOME PARK,Region 9,California,Community water system,88,,Tuolumne,3,10,14
CA1910028,CRESCENTA VALLEY CWD,Region 9,California,Community water system,"33,203",,Los Angeles,29,3,42
CA5200526,HIDDEN HARBOR MARINA & RVP,Region 9,California,Community water system,70,,Tehama,3,5,3
CA3410022,OLYMPIA MOBILODGE,Region 9,California,Community water system,450,,Sacramento,3,2,9
CA1200544,REDCREST WATER WORKS,Region 9,California,Community water system,100,,Humboldt,3,63,9
CA4400665,MEADOWRIDGE MUTUAL WATER CO,Region 9,California,Community water system,42,,Santa Cruz,3,7,36
CA2700837,BLACKIE RD WS #05,Region 9,California,Community water system,62,,Monterey,2,12,10
CA2700541,DEL MONTE FARMS RD WS #03,Region 9,California,Community water system,55,,Monterey,4,11,13
CA4400684,APTOS RIDGE MUTUAL WATER CO,Region 9,California,Community water system,52,,Santa Cruz,2,5,61
CA4700884,SHASTINA MOBILE ESTATES,Region 9,California,Community water system,32,,Siskiyou,4,2,10
CA3110042,TAHOE SWISS VILLAGE UTILITY,Region 9,California,Community water system,300,,Placer,7,5,12
CA1010034,"SAN JOAQUIN, CITY OF",Region 9,California,Community water system,"4,060",SAN JOAQUIN,Fresno,12,20,12
CA2410005,CITY OF LOS BANOS,Region 9,California,Community water system,"41,923",LOS BANOS,Merced,31,3,11
CA0800526,REDWOOD PARK C.S.D.,Region 9,California,Community water system,200,,Del Norte,5,7,15
CA4100529,CAMP LOMA MAR,Region 9,California,Community water system,186,,San Mateo,4,43,32
CA1500554,EAST INYOKERN MUTUAL WATER,Region 9,California,Community water system,87,,Kern,5,12,6
CA2000593,OAKHURST MOBILE HOME ESTATES,Region 9,California,Community water system,164,,Madera,28,22,10
CA5400505,HARTLAND CHRISTIAN CAMP,Region 9,California,Community water system,250,,Tulare,5,4,4
CA3610082,SAN ANTONIO CANYON MSC,Region 9,California,Community water system,125,,San Bernardino,4,3,5
CA0800532,BIG ROCK C.S.D.,Region 9,California,Community water system,400,,Del Norte,3,39,18
CA1510036,INYOKERN CSD,Region 9,California,Community water system,805,,Kern,7,23,11
CA3210010,HAMILTON BRANCH CSD,Region 9,California,Community water system,"1,624",,Plumas,3,2,20
CA5110001,CITY OF LIVE OAK,Region 9,California,Community water system,"8,912",LIVE OAK,Sutter,20,18,40
CA2910013,WASHINGTON RIDGE C.C.,Region 9,California,Community water system,100,,Nevada,11,0,8
CA5010007,HILLSVIEW HOMES,Region 9,California,Community water system,887,,Stanislaus,5,11,13
CA3600087,DEER LODGE WATER SYSTEM,Region 9,California,Community water system,745,,San Bernardino,4,4,41
CA0706004,OAKLEY MUTUAL WATER COMPANY,Region 9,California,Community water system,170,,Contra Costa,15,2,10
CA1900961,WINTERHAVEN MOBILE ESTATES,Region 9,California,Community water system,56,,Los Angeles,7,25,10
CA0707603,CLAYTON PALMS WATER,Region 9,California,Community water system,287,,Contra Costa,18,5,41
CA5700797,MONROE/LEINBERGER CNTR - WATERS,Region 9,California,Community water system,800,,Yolo,5,4,15
CA1910801,FENNER CANYON YOUTH CONSERVATION CAMP,Region 9,California,Community water system,100,,Los Angeles,2,3,6
CA1010020,LATON COMMUNITY SERVICES DISTRICT,Region 9,California,Community water system,"1,824",,Fresno,6,9,9
CA5101009,WILDWOOD EAST MUTUAL,Region 9,California,Community water system,350,,Sutter,4,6,12
CA3410012,CALAM - ISLETON,Region 9,California,Community water system,"1,581",,Sacramento,11,0,16
